correct,incorrect,levenshtein_distance
ư ư,ế í,2
thộc,thộí,1
sưng tấy,sưgtấy,2
vừa ý,ừa ý,1
thẻ thót,thẻátỗhót,2
thập toàn,thóp toàn,1
ăn cỗ có phần,ăn cỗ ó phần,1
trời quang mây tạnh,trời quang mẽy tạnh,1
chuối mít,chuốli mít,1
tẩm bổ,tpẩm b,2
dựng tóc gáy,dựng tóc góy,1
tạp giao,tạp ứiao,1
trẫm,trấm,1
san đàn,ssan đàòn,2
hôm trước,ôm trước,1
trụy,ồutrụy,2
nói lưỡng,nói lươnữ,2
giọng kim,geửọng kim,2
tép ve,tép vếử,2
lẩu bẩu,lẩu bu,1
mở thầu,mở tbầửu,2
hát bộ,ứá bộ,2
cự nự,cự ẵnự,1
đoản chí,đản chí,1
cây nêu,cểỗy nêu,2
du khách,du khựáth,2
lấm mình,lấmẳmình,1
mộc đạc,ímãc đạc,2
tăng lực,tăng ửực,1
ngoại thương,ngmoại thươn,2
chiếu rọi,chiếuò rọd,2
bù đắp,bùả đắp,1
dâm thư,dâm ẩthư,1
tí toét,tí toỡữt,2
dã chiến,dớt chiến,2
Thanh Hoà,Thõnh Hoàả,2
đại nguyên suý,đại kguyên suý,1
bao tượng,bịao tượng,1
âm,à,2
thi nhau,thi nhơu,1
săn tin,săn ỷin,1
media,edúia,2
có bát ăn bát để,c bát ăn bátặđể,2
cần đốp,cầnảđốp,1
chun,chgn,1
được đất,đượă đấ,2
gian truân,gian truânớ,1
tranh màu bột,trynh màu bộkt,2
tiếng tốt,tiếng ốt,1
thuận gió,thuận gòió,1
lăn xả, ăn õxả,2
rò,ừò,1
thước tỉ lệ,thước tỳỉlệ,2
biết tỏng tòng tong,biết tỏng tòng tngd,2
cốt lõi,cốtlõ,2
tày,áàáy,2
phát nguyện,phqtnguyện,2
omicron,omcron,1
sức chứa,sức ưcứa,2
tam giác đều,tampgiác đều,1
tuyệt thế,tuyệt ỳthếẫ,2
cá chép,cá chéữ,1
đóng kịch,đóngíkịdch,2
nhờ trời,nhờtỳời,2
dĩ thân cứu quốc,dĩ thờn cứu quăốc,2
quý khách,quýkhách,1
tim,tuim,1
mộc thạch,mộ thạvh,2
bình thuỷ,bìnề thuịỷ,2
kết quả,kếtù qả,2
dáng bộ,dáng ộ,1
sâu dâu,sâu dâo,1
Quân Khê,Quẹn tKhê,2
đen nhức,đen nứ,2
đũa gắp một chiếc,đũx gắp một chiếc,1
nhân sư,nhânsè,2
biếng nhắp,biếng nhp,1
Bằng Giang,Bằng Giangỹ,1
hoà nhịp,hoà nhop,1
chìm nổi,chìm nổ,1
gác lửng,gác ắlng,2
ngọc quý hay có vết,ngọcquý hay có ũết,2
biên thành,biên thàb h,2
mỹ nữ,mỹ nỳl,2
xóc cái,xị cái,2
mạch kí,mạc k,2
lăng trì,lõăng trì,1
Quỳnh Lập,Quỳnh Lậ,1
ký táng,ký tángạ,1
trụy lạc,trụylc,2
Nhơn Phú,bNhơn Ph,2
bíu bo,íuỳbo,2
coi ngày,co ngày,1
toàn trí,toàn trạq,2
tham sinh,tham osnh,2
vuông bánh chưng tám góc,vuông bểnh chưng tám góc,1
cụ non,cụ n,2
cướp vợ,cướpkó vợ,2
ê ê,l êh,2
hì hụp,hmì hụp,1
bách thanh,bách thàxnh,2
gan dạ, an dạq,2
Chí Đạo,Còí Đạo,1
Cát Trù,Cát Tdrù,1
dinh dưỡng,dinhý dưỡng,1
đóng cừ,đng cừ,1
đồ tồi,cồ tồi,1
chủ trì,chủ troì,1
nót toạc móng heo,nót toạc móg heo,1
sa lầy,saậ lầy,1
lá thắm chỉ hồng,lá thắm chỉ hởợồng,2
sonata,sỳnata,1
từ khoá,từ ốhoá,1
bi lụy,iớlụy,2
Quang Khải,Quang Kĩảài,2
vui như tết,vui nư tếở,2
nữ y tá,nữ ốy tá,1
chưa vặt lông đã thui,cấưa vặt lông đã thi,2
hổ cứ,hổcứ,1
cơlê,òơlê,1
nói toạc,nói toóc,1
tràng hạt,tràýg hạt,1
hạnh đào,hạn đàữ,2
chòng chành như nón không quai,chòngẵchành như dnón không quai,2
kim loại nguyên sinh,kim lại nguyên inh,2
lướt,ầlưạt,2
năm cùng tháng tận,nãm cùng tháng tận,1
xưởng,xưèxng,2
động lượng,đnng lượng,1
bìu,bì,1
a-ni-ông,ăa-ni-ông,1
thấy tháng,ỷũấy tháng,2
vảy da,vảywòda,2
khoắng,hoắng,1
túm năm tụm ba,twúm năm tụm ba,1
bỏ vật bỏ vạ,ởbỏ vật bỏ vạ,1
mặt vàng đổi lấy mặt xanh,mặệt vàng đổi lấy mặtbxanh,2
quen mặt,quenớmặt,1
tài,zà,2
uy vũ,uy ũ,1
yếu mềm,ếu mềm,1
nắng gắt,ảẻnắng gắt,2
tệ đoan,tệ ửđoaữ,2
chính tà,cỉính tà,1
hoa múc,hwự múc,2
ba-dan,ba-dađỵn,2
thiết giáp hạm,thiết gưáp hạm,1
sa-lông,sa-lôững,1
phán sự,ốphán sự,1
ki-lô ca-lo,ki-lô pcamlo,2
vội,vẹiò,2
offset,oftfet,2
Tân Uyên,Tn Uyên,1
vén váy không nên,vén váy knông nên,1
thừng mực,ẹthừwng mực,2
doạ dẫm,dạ dẫ,2
vét xi,vét x,1
xuyên sơn,xuyẫ sơn,2
tức bực,ồtứ bực,2
nhí nhắng,nhí jhắng,1
một khi,móột ẹhi,2
chi mai,ếchiê mai,2
bạch quả,bạch ổả,2
khâm sứ,khâm sử,1
xương thịnh,xương tệềịnh,2
lớn lên,lớn lờên,1
chạy đua,hỗạy đua,2
dửng tóc gáy,dửng tóc gá,1
hình bao,hình bỗỡao,2
sơ tán,sơ téán,1
đoan ngũ,đoa ngũ,1
kỳ yên,kò yên,1
quân cảnh,quânơcản,2
dân đinh,dân đnh,1
nilông,ning,2
ăn cháo đái bát,ăn cháo đi bát,1
sẵn,ẵn,1
lưỡi đòng,lưỡi òg,2
cửi,ỗcli,2
bản khắc,bản khắê,1
chỉ tiêu,chỉ ttiu,2
sang tên,sang ên,1
giáo hội,giắáo hỳi,2
khều khoào,khềuầ khoào,1
bánh nhúng,bádh nhúng,1
lúa ba giăng,lúa ba gyăng,1
cùng trời,cùn trời,1
nói lớ,nỵiỡlớ,2
lèm nhèm,lèm nhèmế,1
giao thông,giao thắông,1
neon,neoên,1
vôi sài-gòn,vôèsài-gòn,2
"ông nói gà, bà nói vịt","ông nói gà,bà nói vịt",1
commăng-ca,commănử-ca,1
đầu gối tranh trưởng nam,đầuđ gi tranh trưởng nam,2
chập mạch,chập ủmạch,1
bom đạn,bm đạn,1
quân nhạc,quân nhạcỏ,1
Châu Phú A,Cóhâu hú A,2
con phe,con pỵhu,2
xuất ngoại,ăxuất ngoại,1
Cao Viên,Caỡ Viê,2
báo chí,báo ốchí,1
củ vạc,ởủ vạ,2
cú rũ,ú r,2
dàn trận,dàên rận,2
nâu trắng,nâu trắvg,1
vang trời dậy đất,vang týrời uậy đất,2
hư truyền,đ truyền,2
cau bụng,caubụng,1
cẩu thả,cẩều thả,1
áo bò,áo ò,1
phì phà,phìửphà,1
nam mô,ơam m,2
Thanh Đồng,nThanh Đồng,1
khùng khục,khùng khụựểc,2
trộng,trỹộng,1
Chư Hmu,Chư Hmxà,2
đầu sách,đầ sáâch,2
Chiềng Dong,Cắiềng ong,2
cười nôn ruột,cườiò nôn ruột,1
rở,r,1
hụm,hụm,0
côngxon,côgẩon,2
mẽ,mẫ,1
thuyền,thuyềan,1
của ngon vật lạ,của ngon vểt l,2
bích thủy,bích fhủy,1
mềm,mỡềựm,2
cầm chèo,cầm chèệo,1
Tân Cương,ớân Cưkng,2
hoa màu,hoa imàữu,2
đưa đường,đea đường,1
"cái ách bỏ dây, cái cày bỏ đó","cáiách bỏ dây, cái cy bỏ đó",2
công nghệ sạch,công nghệ sạcă,1
bạch quỉ,bạch ẽuỉ,1
thúi (,túi (,1
nghệ đen,ngh đen,1
tới lui,tới ấlui,1
bạt vía kinh hồn,bạt vàa kinh hồn,1
Văn Hán,Văn án,1
phô-tô-co-pi,phô-tô-coccpi,2
đời sống,đời sờn,2
như dao chém đá,nhưdaí chém đá,2
đẳng dị,đnt dị,2
đềnh đoàng,đềnz đoàng,1
chỏng,chỏngý,1
bình trà,bình tưà,1
nằm ngang,nằm ụêgang,2
nem,ne,1
chìm xuồng,ơchìm xuồng,1
cháo,ẹchũo,2
trân trọng,trântrọng,1
vũ khí vi trùng,vũ khíd vi tùng,2
nồi chưng,nồi cưưng,1
át-xít,á-xạít,2
Cẩm Đàn,Cẩđ Đàn,1
cột trụ,gộí trụ,2
thoát vị,thễoát v,2
ăn rỗi,ănrỗxi,2
hiệu ứng Pha-ra-đây,hiẵu ứng Pha-ra-đây,1
sơ giảng,sơ giảnởg,1
rửng mỡ,rửnh ỡ,2
thông sứ,thôngcsv,2
tôm sông,ômásông,2
thiền,thền,1
tỉ dụ,tỉ óụự,2
can ngăn,can ngăỏ,1
bánh trái,ễbáh trái,2
bội thệ,bộ thệ,1
ẩu,ẩỗu,1
chủ quản,chdủ uản,2
tên bịp,tên ọbị,2
gạch ốp lát,gạch p láàt,2
hốt nhiên,hốtnhiên,1
viễn cảnh,viễỏ cảnh,1
sáng giá,sáng úgiwá,2
tôn ti trật tự,ụtủn ti trật tự,2
tòng quyền,ýtòng quyền,1
bà xờ,bàỹ xờ,1
lấm như vùi,lấm nồhư vùi,1
chủ nghĩa đế quốc,ụchủ nghĩa đế quốc,1
cá bạc má,cáõ bạc má,1
hộp số,hộp ố,1
lán trại,lánồỹrại,2
giẹo giọ,giẹ giọ,1
vượt suối băng rừng,vượt sốiú băng rừng,2
cháo rau,cháoo ra,2
bầng,bầnýg,1
nhày,êồhày,2
tuyệt kinh,ồuyệét kinh,2
tiếp âm,tèiếpựâm,2
để ngỏ,đ ngỏ,1
lông lợn,lôgng lợn,1
ro ró,w ró,2
nhập siêu,ồhập siêu,1
liên doanh,êiên doanh,1
ăn thúng trả đấu,ăậ thúng rả đấu,2
lớp sơn,ớp sơn,1
phú hào,hèú hào,2
gác tía lầu son,gáctía lầu son,1
Bưởi,Bưỏởi,1
bần đạo,bần fạo,1
cơm gà cá gỏi,cơm gàỹcá wgỏi,2
băng chừng,băngạ chừôg,2
rêu tản,rêutả,2
trấn trạch,trấn trch,1
píp,psp,1
téc-mốt,éc-mốtl,2
trường quay,ởrường quay,1
âm đức,âmâđứờ,2
hưng suy,hưã suy,2
hư hao,hư haoù,1
gia sự,ỵix sự,2
quĩ tín dụng,quổ tín dụng,1
công-cua,côngxhcua,2
miệng nói chân đi,miệng ũnói chân đi,1
Bình Lộc,Bình ộcâ,2
lưu không,lưuệkông,2
quả dục,ứquả dụr,2
thạch tín,thạch ìín,1
trấn định,trấ ịnh,2
ăn bơ làm biếng,ăn ĩơ làm êiếng,2
yếu điểm,yồu điểm,1
nhà bếp,nhàôếp,2
ỷ Lan,ỷọểLan,2
chèo ngọn,chèo ngọởn,1
a-pác-thai,a-pác-tai,1
gió trăng,gió orăng,1
cây thuốc phiện,cây thu ốc phiện,1
Thọ Hải,Thọ Hả,1
toán pháp,toán gpháx,2
chữ chi là cò,c hữ chi là cò,1
nửa chừng xuân,nửa hừng xuân,1
toét nhèm,toét yhèm,1
diễn trường,diễn trưng,1
Cao Xanh,rCax Xanh,2
ghẹo gái,ghẹo gáib,1
ba đấng ba loài,ĩa đấnồg ba loài,2
vật hóa,vt hóa,1
con thừa tự,con hừa ẫự,2
từ,tồ,1
cái kim trong bọc lâu ngày cũng lộ ra,ái kim trong bọc lâu ngày cũng lộ ra,1
đại vương,đại v ươn,2
thúc,ũthấc,2
duy thực,duyc thựcỉ,2
phong vân,phoểng vân,1
thượng lương,thượịg lươn,2
qua quýt,qa quúýt,2
hết nước nói,hết nước nó,1
sốt sản,sốtsản,1
đàn Tàu,dđàn Tà,2
vương phi,àươngý phi,2
đảo ngói,ảo ngói,1
đăng đắng,đăng đắné,1
fuốc-sét,fuốc-séột,1
từ cổ chí kim,từ c chíí kim,2
thề cá trê chui ống,thề cá trê ôhuiể ống,2
chẳng đừng,cẳng đừng,1
vo ve,lvô ve,2
hải triều,hjitriều,2
"bẩy gan, bẩy tiết","bẩ gan, bẩy tiết",1
nhanh nhách,nhanhânhách,1
hợp tử,hp ử,2
cơ bản,cpbản,2
đại lượng tỉ lệ thuận,đại lượng tỉlệ thuận,1
chẩm,ìchẩm,1
dòng tộc,dònẻ ắtộc,2
tơ duyên,ấtơ ủuyên,2
tin,ơtin,1
chúng sinh,chúng siủh,1
núp bóng tùng quân,núp bón ùng quân,2
bán đứng,bánì đứống,2
bóng cá,bõóng á,2
cưa giật,ẹưa giậế,2
hướng nghiệp,hướỷnĩg nghiệp,2
mơi,gmơi,1
nịch ái,nich ái,1
trừ hại,tòừ hại,1
quở trách,ĩuở trácỗ,2
mọc răng,mọc rănị,1
meo meo,meo mữeo,1
Cao Bằng,Cợao Bằng,1
thử lửa,thử lửểa,1
nhục nhằn,nhục nằn,1
mắng chửi,mắngãchứửi,2
ít hôm,ít hômởũ,2
tưng bốc,tưnổgỷbốc,2
tử thương,tử athươn,2
mẹ mày,mẹ màủy,1
ẩm hận,óẩm hận,1
Mèo Lài,Mèo ẽLài,1
ngăn sông cấm chợ,ngăn sông cặm chợ,1
muối khoáng,uối khoáung,2
bài thi,ễài thi,1
côn trùng học,ầôn trùng học,1
khang kháng,kụang háng,2
Toả Tình,goả Tãnh,2
đắt,đắât,1
Thạnh An,Tệhạưnh An,2
ồn,ồ,1
nhân chính,nhânnchnh,2
Thịnh Hưng,ễThịnh Hưng,1
tigôn,tgôn,1
con đen,con đeộ,1
hồi phục,hồ phục,1
hồ lô,hồ lôy,1
nước chè tàu giầu cơi thiếc,nước cè tàu giyu cơi thiếc,2
vướng víu,vướng v u,1
bánh bao,bánhẩbaob,2
tuỳ viên,tuỳ viê,1
dê già,dê gà,1
con dắt con bế,con dắt con aế,1
chết đuối vớ phải bọt,chết đuối vớ hải bọt,1
ra vào,ravo,2
thôi,tôi,1
lúa đòng đòng,lúa đêng đng,2
Thạnh Ngãi,Thạnị Ngãi,1
lựng khựng,luựng khóng,2
tông miếu,tông tmiếu,1
máy nổ,máý  nổ,2
nước vỡ bờ,ướcấvỡ bờ,2
chềnh ềnh,chhềnh ềnh,1
chằng buộc,cằní buộc,2
Thiên Chúa,Thiên áhúa,1
Thạch Lâm,Thạcậh Lâ,2
tinh ý,tih ý,1
nuốt nước bọt khan,nuốt nước bt kỉhan,2
ẩn danh,n dah,2
quốc lập,ừquốc lập,1
huỷ diệt,huỷũdiầt,2
Vĩnh Kiên,Vĩnh iênũ,2
õng ẹo,õngẹo,1
đại lượng,đại ắợng,2
mang rô,mng èô,2
nhột nhạt,nhột nnạt,1
thừa lệnh,thtừa lệnh,1
Thái Hưng,Tái Hqng,2
dư hương,dư hươnớg,1
bốc-xít,bốc-ít,1
dao chém thớt,dao chléậ thớt,2
răng,răg,1
quan toà,quặn toà,1
xem xét,xem xt,1
ba-lông,ủ-lông,2
vá trời lắp biển,ậá trờiklắp biển,2
khoẻ khoắn,khoẻ khoín,1
chiếu luật,chiưếu luậqt,2
Bình Lãnh,Bình Lãầnh,1
từ thực,vtừ tềhực,2
chạng nạng,chạỹngnạng,2
Tiến Thắng,Thiến Thễắng,2
Tuyên Thạnh,Tĩuểên Thạnh,2
mệt,mcảt,2
tội nghiệp,tội njghiòệp,2
phô-mai,phô-ặmi,2
cung miếu,cuég miếu,1
mài,ớài,1
tiểu kỷ,tiẻu k,2
vì nỗi,vì éni,2
có tội,cố ựtội,2
vọp,vọhp,1
ráp rạp,ráỷp rạp,1
thợ đấu,th đấu,1
khỉ mũi,hỉ ũi,2
hương hoả,hơnghoả,2
"của mình thì để, của rể thì bòn","của mình tì để, của rể thì bòn",1
Cán Hồ,Cán Hõ,1
tì,ítãì,2
toán trưởng,toán trưáởđg,2
tuynen,ẹuyãnen,2
chua đời,chu ời,2
hoạt lực,hoặt lưc,2
trù hoạch,trù éoạcự,2
cõi âm,cỹ âm,2
nộ,nộ ư,2
tương thích,tương thộcqh,2
hàng phố,hàng phỷố,1
mầm phôi,mm poôi,2
hí viện,hí ỗviện,1
da chì mặt bủng,da chìmặt bủng,1
nhân giống,nhân giốn,1
cấm cảu,cấmẫ cả,2
địa hình học,địổ hìành học,2
cuồng điên,ốcuồng điên,1
tập,ậ,2
toàn cảnh,ton cảnh,1
thiết bị đầu cuối,thiễt bị đầuế cuối,2
đậu đỏ,đậuđ,2
hào trưởng,hàoltrvưởng,2
đi thi,đi tóiỏ,2
chắt lót,âhắt ló,2
chủ nghĩa bá quyền,chẳ ẫghĩa bá quyền,2
cá nóc,c nc,2
hoả diệm sơn,hoãảù diệm sơn,2
Chiềng Ban,Chiắng Ban,1
xin,fiể,2
Ca-tang,Ca-taòg,1
phòng,phng,1
tĩnh toạ,tĩnh to,1
hốc hếch,hc hếổh,2
chim mỏ thìa,chiỉỉ mỏ thìa,2
chết như rạ,chết nư rạ,1
khăng khít dải đồng,khăng khít ddải đồễg,2
chạy lên đường trời,ùhạy lên đườnũg trời,2
cao đàm,ao đàm,1
rêu cỏ,rêu cỏ,0
chè lam,ch lm,2
quờ quào,qu quo,2
u gai,u gaĩĩi,2
đại dũng,đíại dũng,1
Cd,ỳd,1
chỉnh hình,ichỉn hình,2
liên luỵ,liênluỵ,1
mặt ủ mày ê,mặt ủ ỡày ê,1
cố tật,cố ật,1
sa môn,nsa mônố,2
sấm ngữ,sấm yngữf,2
chung tay góp sức,chun tay góp sáức,2
lô-gích hình thức,lô-bích hình thức,1
sẻ ngô,ẻ ngh,2
ma-nhê-tô,ma-mnhê-tô,1
thụt nhuận tràng,thụ nhuận trsng,2
lặng câm,lặng câmè,1
sao chụp,ao chpp,2
đại sứ,đạimsọứ,2
Cư Môt,CưqMôt,1
Thiết ống,Thiết ốvg,1
quạt vả,qễạt vả,1
chả chay,chả chayợ,1
làm mướn,àm ướn,2
huyện bộ,uyện bõ,2
nâu sồng,lnâu sồng,1
tối,tồối,1
kiểm soát viên,kiểm soát vên,1
nuốt trửng,nut rửng,2
sách lịch,sác lịụh,2
dấn,dn,1
trong khoảng,túong khỏảng,2
phi thường,phi thườàg,1
bánh nhãn,bánhnhãn,1
bào cóc,bo cóc,1
Sơn Hạ,Sơn Hă,1
nón bài thơ,nẹn bài thẽ,2
xịt,xịtk,1
gân mặt,wgâ mặt,2
Xuân Nha,Xuặân Nkha,2
lược bí,lượầc bí,1
ngói chiếu,ngói chiếìq,2
chỉ huy,chếỉ huy,1
gia thế,ga thế,1
cởi lốt,ởi lốt,1
quảng đại thần thông,quảng đại thần thôỷg,1
trờ tới,trử tới,1
buôn một lãi mười,uôn một lãi mườêi,2
giả đạo đức,ẳgiả đạo đức,1
Hệ Mặt Trời,Hệ MặkáTrời,2
đường hoá học,đường hẹá học,1
xơ vữa,ơ vữa,1
vừa đẹp vừa giòn,vừa đẹp ừa gin,2
oxy hoá,oxyảhụá,2
triệng,triện,1
tam hình,tam ữình,1
giờ giấc,iờ giấc,1
phụ huynh,ph hỹynh,2
quan gia,quẻan giỏ,2
chủ nghĩa lãng mạn,chủ nghẻĩa lãng mạn,1
ca-cao,ểa-cao,1
già chơi trống bỏi,ià chơi trng bỏi,2
quạ mổ,quạ ộmổ,1
chưởì,chưởbì,1
bình thường hoá,bìnê thường hoá,1
tên họ,tênỹhọ,1
xì ke,xĩì ũe,2
lang băm,ýang dbăm,2
lật ngửa,lậạt ngửa,1
chí thành,chí thàẻh,1
dời,đổời,2
mẫu số chung,mẫu số chunổ,1
vắng,vắnt,1
đa dạng hóa,đaé dạnng hóa,2
độ nào,ừộ nàọo,2
nhất loạt,hất ụoạt,2
panh-xô,pní-xô,2
rơn,rơna,1
phớt tỉnh,phớt ờỉỗnh,2
lổn nhổn,lổỗ nổn,2
ấm êm,ấmêm,1
giông tố,gdôg tố,2
thí dụ,th dụ,1
xảo thủ,xào thủ,1
lá sen,á se,2
hồi cư,hồõ cư,1
thịnh nộ,thịnh nộý,1
protein,protinẽ,2
đơn vị tiền tệ,đơnôvị tiền tệ,1
quá lời,quá ỵời,1
ăn hoang phá hoại,ăn hoang phá oại,1
buồn tình,buồn ctìầnh,2
thay hình đổi dạng,thay hình đĩi dạngờ,2
rơm rạ,rơẩm rạ,1
ao tù,ao ù,1
sứ giả,s giả,1
tủ chè,ầtủắchè,2
cá đòng đong,cẵđòng đong,2
khó ăn khó nói,khó ăn khó nâi,1
phát huy,phẻát hy,2
Noong Hẻo,Noongứ Hẻo,1
gửi gắm,gửi ắv,2
sùi bọt mép,sùi bt mép,1
ai đời,aiđời,1
vang mình sốt mẩy,vqan mình sốt mẩy,2
vay nợ,ýay nợ,1
phá bĩnh,phá bĩnvh,1
hô,ẳhô,1
gác mỏ,ễác mỏ,1
thể tình,thữể tình,1
ăn đút lót,ănỹ đút lt,2
địch tình,địch tìh,1
thường vụ,thườnt vụ,1
tráo mắt,tráoomắtv,2
chỉ tay day trán,chỉ tay day ărán,1
Thành Vinh,hàh Vinh,2
quân nhu,quaânnhu,2
An Đức Tây,AnĐc Tây,2
siết chặt,siết cẳặò,2
tạp dịch,ạp dịch,1
hiện hành,hệnỵ hành,2
thảm hại,thảm hạổi,1
xu mị,u ị,2
nhày nhụa,nhày hụa,1
nhà vườn,nhà véờản,2
dàn đế,dà đế,1
sứa,ệsứáa,2
loằng ngoằng,loằng ngoếằng,1
kiêm tính,kiửm tính,1
nhùn nhũn,nhùn nhũf,1
cốp pha,cốp peha,1
đệm đàn,fệ đàn,2
nuốt hận,nỏốtắ hận,2
mèo già hoá cáo,mèo giãà hoá cáo,1
tấm gương,tw gương,2
lẩn tha lẩn thẩn,ẩn tha lẩnythẩn,2
học làm sang,học lm saịg,2
lô cốt,lô ốt,1
cổ hoặc,cổ hoc,1
xá chi,x chi,1
lan trùng,ln trùãg,2
vô chừng,vă chừng,1
biết có,biếtcó,1
chiết áp, hiết áp,1
hổ phách,ổũ phách,2
xỏ,à,2
khăn tày rế,khăn tàẹy rõ,2
quần anh,qun anh,1
Thạch Hãn,Tạch Hãn,1
lao,lo,1
biện liệu,biện liệèu,1
phổ thông cơ sở,phổ hôợg cơ sở,2
tai hồng,tai hồngỏ,1
lạm sát,lmu sát,2
hiệu sách,hệý sách,2
khuếch trương,kahuếchù trương,2
tiên triết,tiên triỷtý,2
Thạch Phú,Thạoch Pùú,2
cắt dài đáp ngắn,cắt dài đp nắn,2
nhồi,ữhồi,1
đánh đồn,đáh đồn,1
hân hạnh,hzâó hạnh,2
nhà lưu động,hà lưu động,1
dâm dấp,dâm ấp,1
khảo cứu,ehảo cứu,1
toáng,átoána,2
ba mớ,bẫ mớ,1
trực phân,ítrực phân,1
Xuân Quang,XuânQuưng,2
động cơ điện,độg cơ điện,1
dữ da,dữẻa,2
chẻ xác, hẻẽ xác,2
hình thái học,hình thi học,1
hum húp,hump húp,1
áo bành-tô,á bành-tô,1
tranh luận,traằnhluận,2
ăn đường nằm chợ,ẻn đường nnằm chợ,2
nhập lậu,nhp lậu,1
"ăn chưa no, lo chưa chín","ă chưa no, lo chưa chín",1
vui lòng,vui ụlòg,2
thơ thớt,thơ thớtợ,1
lễ mễ,lễ mủ,1
đi đời nhà ma,đi đời hà ma,1
hưng hửng,hưng hâng,1
BCT,ẹBCT,1
le le,ele,2
củ bình vôi,ẹcủấbình vôi,2
thống khổ,thng khx,2
gác tía,gwc tía,1
trùm,trùỉ,1
bến cũ đò xưa,ến cũ đò xa,2
đồng trục,ồng trục,1
đậu phụng,đọậu phụneg,2
thảm đỏ,thảm ỏ,1
từ hư,ù hư,2
dấu phẩy,duphẩy,2
xương búa,xương ề a,2
dậy,ệdy,2
quanh năm,quaỹnh năm,1
Yên Mỹ,Yự Mỹ,2
kinh qua,kin âua,2
phủ định biện chứng,phủ địh biệ chứng,2
tài tình,tài đtình,1
sẻ đàn tan nghé,sẻé đà tan nghé,2
tùng phục,tùng ựphục,1
sống động,sống đng,1
chiều qua,chiều ua,1
thương xót,thương ót,1
thập tự,ừhậú tự,2
đánh đàn đánh đúm,đáh đtn đánh đúm,2
trộn tiếng,trộỵn tiếng,1
nứa,nứã,1
của kho không lo cũng hết,của kho hông lo cũng hết,1
khổ công,kh công,1
tuỷ sống,tuỷô sống,1
câu cửa miệng,câuycửa miệng,1
li giáo,l giáã,2
thịnh đạt,tồhpịnh đạt,2
động từ nội động,độngợtừ nộiằđộng,2
gió bên đông động bên tây,gió bên đông động n tây,2
anh trai,aih trai,1
nở ruột nở gan,nởkruột nvở gan,2
glu-cô,góỷlu-cô,2
